timestamp,usia,jenis_kelamin,tinggi_badan,berat_badan,aktivitas_fisik,pekerjaan,sarapan_makanan_1,sarapan_makanan_2,sarapan_makanan_3,sarapan_makanan_4,sarapan_makanan_5,sarapan_harga_minimal,sarapan_harga_maksimal,sarapan_asin,sarapan_manis,sarapan_asam,sarapan_gurih,sarapan_pedas,sarapan_renyah,sarapan_halus,sarapan_creamy,sarapan_kental,sarapan_digoreng,sarapan_direbus,sarapan_dibakar,sarapan_dikukus,sarapan_cepat_saji,sarapan_beli,makansiang_makanan_1,makansiang_makanan_2,makansiang_makanan_3,makansiang_makanan_4,makansiang_makanan_5,makansiang_harga_minimal,makansiang_harga_maksimal,makansiang_asin,makansiang_manis,makansiang_asam,makansiang_gurih,makansiang_pedas,makansiang_renyah,makansiang_halus,makansiang_creamy,makansiang_kental,makansiang_digoreng,makansiang_direbus,makansiang_dibakar,makansiang_dikukus,makansiang_cepat_saji,makansiang_beli,makanmalam_makanan_1,makanmalam_makanan_2,makanmalam_makanan_3,makanmalam_makanan_4,makanmalam_makanan_5,makanmalam_harga_minimal,makanmalam_harga_maksimal,makanmalam_asin,makanmalam_manis,makanmalam_asam,makanmalam_gurih,makanmalam_pedas,makanmalam_renyah,makanmalam_halus,makanmalam_creamy,makanmalam_kental,makanmalam_digoreng,makanmalam_direbus,makanmalam_dibakar,makanmalam_dikukus,makanmalam_cepat_saji,makanmalam_beli,snack_makanan_1,snack_makanan_2,snack_makanan_3,snack_makanan_4,snack_makanan_5,snack_harga_minimal,snack_harga_maksimal,snack_asin,snack_manis,snack_asam,snack_gurih,snack_pedas,snack_renyah,snack_halus,snack_creamy,snack_kental,snack_digoreng,snack_direbus,snack_dibakar,snack_dikukus,snack_cepat_saji,snack_beli
20/05/2023 21:18:27,21,Perempuan,154,55,Ringan,Mahasiswa,20,20,129,135,63,10000,25000,4,4,2,3,10,10,5,3,2,9,3,4,1,Ya,Ya,58,103,60,115,63,10000,25000,2,3,1,5,10,9,7,6,5,10,4,3,1,Ya,Ya,63,4,129,145,135,10000,20000,2,5,1,2,9,8,6,5,4,9,7,2,3,Ya,Ya,5,6,131,55,129,5000,15000,6,7,1,3,10,8,5,3,2,9,6,2,4,Ya,Ya
20/05/2023 21:44:42,22,Laki-laki,170,53,Ringan,Mahasiswa,126,40,52,120,94,10000,15000,9,4,1,9,2,7,5,1,1,5,5,5,8,Ya,Ya,95,42,58,80,91,10000,20000,9,4,1,10,7,7,3,1,1,9,4,3,3,Tidak,Ya,156,63,115,81,57,10000,20000,8,7,1,8,8,7,1,1,1,9,8,7,1,Tidak,Ya,34,53,145,160,167,5000,20000,9,7,1,6,1,8,4,1,1,8,1,1,9,Tidak,Ya
20/05/2023 22:06:07,20,Perempuan,158,56,Ringan,Mahasiswa,120,104,94,22,9,5000,10000,5,6,7,5,5,6,4,4,4,6,6,7,6,Ya,Ya,111,121,102,87,53,10000,25000,6,5,7,6,6,6,4,4,4,7,6,6,6,Ya,Tidak,58,59,115,94,56,10000,15000,7,7,5,5,4,5,5,5,4,6,6,7,6,Ya,Tidak,26,167,145,5,33,2000,5000,5,7,4,4,4,7,4,3,3,6,5,4,5,Ya,Ya
20/05/2023 22:24:38,20,Perempuan,155,44,Ringan,mahasiswa,163,17,131,93,94,10000,15000,6,7,1,8,3,7,4,2,3,10,5,3,5,Ya,Tidak,4,63,78,22,57,15000,30000,7,5,1,8,9,8,1,1,1,10,9,10,8,Tidak,Ya,57,145,4,56,91,15000,25000,7,5,1,9,8,9,1,1,1,8,7,6,5,Ya,Tidak,15,36,33,162,9,10000,15000,3,10,1,10,2,10,1,1,1,5,4,1,5,Tidak,Ya
20/05/2023 23:42:32,20,Perempuan,158,40,Ringan,Mahasiswa,19,93,104,115,120,2000,15000,4,5,2,6,5,6,5,5,4,7,7,6,5,Ya,Tidak,111,104,22,145,63,3000,15000,4,5,3,9,9,9,7,8,4,9,7,7,6,Ya,Tidak,104,24,4,58,62,5000,25000,5,7,4,7,9,9,6,4,4,9,9,9,7,Ya,Ya,170,36,129,15,167,2000,10000,5,9,3,9,9,9,6,4,5,7,2,2,2,Ya,Ya
21/05/2023 7:34:04,20,Perempuan,150,45,Sedang,Mahasiswa,135,144,160,60,24,5000,20000,4,8,4,7,5,8,9,4,8,7,2,2,2,Tidak,Tidak,113,123,68,110,63,10000,40000,7,5,7,9,6,8,5,4,6,8,4,6,7,Tidak,Tidak,83,81,64,57,62,10000,40000,7,6,6,8,6,7,8,5,5,9,6,9,6,Ya,Ya,32,6,169,33,129,5000,15000,6,8,6,6,8,7,7,7,5,8,7,8,8,Ya,Ya
21/05/2023 9:41:14,21,Laki-laki,177,88,Sedang,mahasiswa,11,40,42,52,126,10000,20000,8,6,4,5,5,6,6,4,4,7,4,5,6,Ya,Tidak,63,121,62,64,94,15000,25000,9,2,8,8,8,8,7,6,6,9,9,9,8,Ya,Tidak,15,17,145,23,40,10000,25000,7,8,6,7,5,6,8,8,8,8,8,9,9,Ya,Ya,18,170,169,15,167,10000,15000,8,8,6,6,6,7,7,8,8,7,7,7,7,Ya,Ya
21/05/2023 9:46:00,19,Laki-laki,160,60,Sedang,Mahasiswa,115,62,16,118,58,10000,25000,5,8,3,10,1,8,9,2,2,8,5,10,2,Ya,Tidak,58,16,20,6,64,10000,30000,5,8,2,10,1,8,9,3,1,8,4,10,1,Ya,Tidak,22,81,80,145,55,15000,30000,4,10,1,10,1,8,10,6,3,8,2,7,2,Ya,Ya,145,6,1,131,132,10000,20000,5,10,3,10,1,9,10,5,2,10,1,8,1,Ya,Ya
21/05/2023 9:50:50,21,Laki-laki,180,70,Berat,POLISI,117,91,64,94,91,15000,25000,8,8,8,8,9,8,8,8,8,8,8,8,8,Tidak,Tidak,121,125,126,127,107,15000,25000,8,8,8,8,9,8,8,8,8,8,8,8,8,Tidak,Tidak,121,122,125,126,115,15000,25000,7,7,7,8,8,7,7,7,7,7,7,7,7,Tidak,Tidak,6,15,17,135,129,10000,15000,8,9,8,9,9,9,8,8,8,8,8,8,8,Tidak,Tidak
21/05/2023 10:06:59,26,Laki-laki,160,40,Sedang,Mahasiswa,93,122,159,158,164,10000,20000,5,6,4,6,7,6,6,7,6,6,6,7,7,Tidak,Tidak,140,140,140,132,120,10000,20000,8,9,8,10,9,10,9,10,9,10,10,9,10,Ya,Tidak,120,115,8,20,28,10000,20000,8,10,7,10,10,9,8,10,9,9,10,10,10,Tidak,Ya,135,140,131,132,133,10000,10000,10,8,9,9,9,9,8,10,9,9,9,9,9,Tidak,Ya
